,WSPD,GST,PRES,ATMP,WTMP,month_sin,month_cos,day_sin,day_cos,hour_sin,hour_cos,WDIR_sin,WDIR_cos
2022-07-04 10:00:00,2.56,4.0,1019.0200000000001,26.03,31.189999999999998,-0.4999999999999997,-0.8660254037844388,0.72479278722912,0.6889669190756866,0.49999999999999994,-0.8660254037844387,0.9659258262890683,-0.25881904510252085
2022-07-04 11:00:00,2.31,3.5,1019.46,26.47,31.05,-0.4999999999999997,-0.8660254037844388,0.72479278722912,0.6889669190756866,0.258819045102521,-0.9659258262890682,0.9622179935292854,-0.27228024704057424
2022-07-04 12:00:00,1.1800000000000002,3.3,1019.97,27.54,30.96,-0.4999999999999997,-0.8660254037844388,0.72479278722912,0.6889669190756866,1.2246467991473532e-16,-1.0,0.6374239897486899,-0.7705132427757891
2022-07-04 13:00:00,0.8300000000000001,1.9,1020.24,28.330000000000002,31.04,-0.4999999999999997,-0.8660254037844388,0.72479278722912,0.6889669190756866,-0.2588190451025208,-0.9659258262890683,-0.7847763705330829,0.6197790317951402
2022-07-04 14:00:00,0.99,2.4,1020.46,28.73,31.1,-0.4999999999999997,-0.8660254037844388,0.72479278722912,0.6889669190756866,-0.4999999999999997,-0.8660254037844388,-0.3616245700820926,0.9323238012155121
2022-07-04 15:00:00,3.02,4.3,1020.6600000000001,28.610000000000003,31.21,-0.4999999999999997,-0.8660254037844388,0.72479278722912,0.6889669190756866,-0.7071067811865471,-0.7071067811865479,-0.08715574274765832,0.9961946980917455
2022-07-04 16:00:00,4.04,5.5,1020.53,29.03,31.32,-0.4999999999999997,-0.8660254037844388,0.72479278722912,0.6889669190756866,-0.8660254037844385,-0.5000000000000004,-0.08715574274765832,0.9961946980917455
2022-07-04 17:00:00,4.9,6.1,1020.0200000000001,29.369999999999997,31.45,-0.4999999999999997,-0.8660254037844388,0.72479278722912,0.6889669190756866,-0.9659258262890683,-0.25881904510252063,-0.08715574274765832,0.9961946980917455
2022-07-04 18:00:00,5.33,6.5,1019.3100000000001,29.73,31.639999999999997,-0.4999999999999997,-0.8660254037844388,0.72479278722912,0.6889669190756866,-1.0,-1.8369701987210297e-16,-0.09063258019778007,0.9958843986159703
2022-07-04 19:00:00,5.11,6.3,1018.76,30.05,31.919999999999998,-0.4999999999999997,-0.8660254037844388,0.72479278722912,0.6889669190756866,-0.9659258262890684,0.2588190451025203,-0.10973431109104577,0.9939609554551796
2022-07-04 20:00:00,5.65,7.0,1018.18,30.110000000000003,32.2,-0.4999999999999997,-0.8660254037844388,0.72479278722912,0.6889669190756866,-0.8660254037844386,0.5000000000000001,-0.08715574274765832,0.9961946980917455
2022-07-04 21:00:00,4.93,6.2,1017.85,30.24,32.35,-0.4999999999999997,-0.8660254037844388,0.72479278722912,0.6889669190756866,-0.7071067811865477,0.7071067811865474,-0.09931974974363929,0.9950555699612262
2022-07-04 22:00:00,3.9,7.0,1017.82,30.1,32.44,-0.4999999999999997,-0.8660254037844388,0.72479278722912,0.6889669190756866,-0.5000000000000004,0.8660254037844384,-0.9505157316277836,0.31067642963073233
